Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,14.45,14.55,14.39,14.51,12.742278,2330800
2014-01-02,14.51,14.56,14.19,14.27,12.531516,3987200
2014-01-03,14.28,14.35,14.11,14.2,12.470042,4104700
2014-01-06,14.34,14.45,14.13,14.34,12.592989999999999,5067000
2014-01-07,14.36,14.8,14.36,14.59,12.812533,10596900
2014-01-08,14.54,14.61,14.21,14.3,12.557862,6992400
2014-01-09,14.36,14.54,14.27,14.46,12.698371,5359500
2014-01-10,14.5,14.7,14.48,14.53,12.759839999999999,4807700
2014-01-13,14.45,14.51,14.21,14.26,12.522736,4807200
2014-01-14,14.27,14.45,14.18,14.44,12.680805,4268300
2014-01-15,14.45,14.47,14.23,14.3,12.557862,5268500
2014-01-16,14.28,14.37,14.18,14.31,12.566646,4247100
2014-01-17,14.36,14.44,14.27,14.3,12.557862,3437900
2014-01-21,14.46,14.55,14.28,14.43,12.672024,4683800
2014-01-22,14.43,14.59,14.39,14.47,12.70715,3384100
2014-01-23,14.35,14.4,14.06,14.19,12.461263,5266300
2014-01-24,14.13,14.13,13.54,13.72,12.048523,12287800
2014-01-27,13.72,13.75,13.42,13.64,11.978268,8703400
2014-01-28,13.65,13.97,13.62,13.97,12.268064,5337000
2014-01-29,13.8,13.96,13.68,13.75,12.074867,7127300
2014-01-30,13.8,13.97,13.73,13.95,12.295213,3184900
2014-01-31,13.78,14.1,13.71,14.06,12.392164,7542400
2014-02-03,14.06,14.22,13.68,13.71,12.083679,5421100
2014-02-04,13.76,13.89,13.62,13.83,12.189447999999999,4359500
2014-02-05,13.74,13.92,13.58,13.84,12.198259,3564300
2014-02-06,13.85,13.99,13.79,13.96,12.304024,3388800
2014-02-07,14.0,14.1,13.92,14.06,12.392164,3439100
2014-02-10,14.02,14.11,13.82,14.05,12.383349,3095300
2014-02-11,14.05,14.49,14.03,14.33,12.630133,4940400
2014-02-12,14.33,14.36,14.17,14.31,12.612509,4655900
2014-02-13,14.21,14.6,14.2,14.49,12.771154,3640600
2014-02-14,14.44,14.62,14.42,14.62,12.885733,2871900
2014-02-18,14.65,14.94,14.62,14.76,13.009127000000001,4366100
2014-02-19,14.67,14.81,14.36,14.41,12.700644,6897500
2014-02-20,14.37,14.76,14.37,14.52,12.797596,5707300
2014-02-21,14.53,14.78,14.46,14.63,12.894547,4392900
2014-02-24,14.62,14.68,14.23,14.27,12.57725,9062200
2014-02-25,14.26,14.39,14.15,14.29,12.594880999999999,4971900
2014-02-26,14.17,14.37,14.02,14.17,12.489115,9411200
2014-02-27,14.08,14.1,13.74,13.78,12.145378,10288000
2014-02-28,13.8,13.86,13.57,13.65,12.030797,9202800
2014-03-03,13.58,13.94,13.55,13.86,12.215886,7896500
2014-03-04,13.9,14.09,13.88,13.95,12.295213,5669400
2014-03-05,13.91,14.05,13.88,14.04,12.374536,4721700
2014-03-06,14.04,14.14,13.91,13.99,12.330465,5778800
2014-03-07,13.99,14.06,13.86,14.05,12.383349,6189800
2014-03-10,14.03,14.03,13.84,13.84,12.198259,5844300
2014-03-11,13.85,13.87,13.54,13.61,11.995543,5951700
2014-03-12,13.54,13.85,13.53,13.84,12.198259,3456300
2014-03-13,13.84,13.94,13.78,13.84,12.198259,3937800
2014-03-14,13.8,13.98,13.79,13.81,12.171819000000001,3308400
2014-03-17,13.85,13.99,13.79,13.91,12.259953999999999,2971400
2014-03-18,13.94,14.09,13.93,14.02,12.356907000000001,3010500
2014-03-19,14.06,14.12,13.77,13.83,12.189447999999999,4115500
2014-03-20,13.82,14.0,13.7,13.97,12.31284,4092300
2014-03-21,14.13,14.17,13.88,13.89,12.242329,6004500
2014-03-24,13.94,14.03,13.75,13.87,12.224701,4508800
2014-03-25,13.91,13.99,13.84,13.93,12.277585,3997900
2014-03-26,13.97,14.03,13.72,13.73,12.101309,4108700
2014-03-27,13.76,14.06,13.75,14.02,12.356907000000001,4550100
2014-03-28,14.1,14.31,14.07,14.29,12.594880999999999,5875900
2014-03-31,14.4,14.44,14.18,14.28,12.586065,6983300
2014-04-01,14.33,14.38,14.24,14.31,12.612509,4790700
2014-04-02,14.33,14.46,14.22,14.25,12.559626,5591500
2014-04-03,14.29,14.41,14.22,14.25,12.559626,4360000
2014-04-04,14.35,14.64,14.29,14.33,12.630133,7403700
2014-04-07,14.32,14.42,14.18,14.19,12.506742,4951600
2014-04-08,14.17,14.5,14.1,14.38,12.674204,3593100
2014-04-09,14.39,14.5,14.18,14.3,12.603692,8194800
2014-04-10,14.3,14.58,14.29,14.43,12.718272,5899500
2014-04-11,14.38,14.47,14.11,14.15,12.471487,5217900
2014-04-14,14.22,14.38,14.13,14.31,12.612509,3608300
2014-04-15,14.31,14.45,14.14,14.33,12.630133,4484900
2014-04-16,14.41,14.45,14.17,14.35,12.647761000000001,5563500
2014-04-17,14.33,14.45,14.19,14.26,12.568437,2902500
2014-04-21,14.29,14.36,14.09,14.14,12.462672,3692400
2014-04-22,14.14,14.19,14.01,14.14,12.462672,5337800
2014-04-23,14.18,14.39,14.17,14.28,12.586065,3170800
2014-04-24,14.33,14.6,14.27,14.51,12.788783,4101300
2014-04-25,14.51,14.57,14.33,14.44,12.727086,4162700
2014-04-28,14.51,14.54,14.32,14.35,12.647761000000001,6122200
2014-04-29,14.36,14.42,14.11,14.32,12.665451,5542200
2014-04-30,14.33,14.47,14.2,14.45,12.78043,5785000
2014-05-01,14.46,14.77,14.42,14.73,13.028078,4599400
2014-05-02,14.69,14.7,14.3,14.33,12.674294,3412000
2014-05-05,14.29,14.33,14.18,14.29,12.638917,3291900
2014-05-06,14.29,14.35,14.17,14.19,12.550471,4358500
2014-05-07,14.25,14.48,14.22,14.47,12.798119999999999,4398400
2014-05-08,14.0,14.43,13.94,14.08,12.453180999999999,8089100
2014-05-09,14.05,14.26,13.95,14.04,12.417802,4777400
2014-05-12,14.08,14.17,13.95,14.01,12.39127,3575800
2014-05-13,14.06,14.16,14.0,14.09,12.462025,2415200
2014-05-14,14.12,14.31,14.06,14.18,12.541628999999999,3653200
2014-05-15,14.18,14.24,14.08,14.2,12.559316,3564900
2014-05-16,14.22,14.3,14.08,14.22,12.577005999999999,3806000
2014-05-19,14.16,14.2,13.92,14.0,12.382424,4078100
2014-05-20,13.98,14.04,13.77,13.83,12.232066,3368000
2014-05-21,13.84,13.94,13.55,13.58,12.01095,9295700
2014-05-22,13.56,13.76,13.42,13.68,12.099397999999999,10871600
2014-05-23,13.71,13.87,13.58,13.61,12.037484,5683500
2014-05-27,13.8,13.88,13.73,13.77,12.178999000000001,4676500
2014-05-28,13.76,13.91,13.63,13.87,12.267444,4513100
2014-05-29,13.86,13.97,13.8,13.96,12.347045,7454700
2014-05-30,13.94,14.11,13.78,14.1,12.470869,7938400
2014-06-02,14.09,14.18,14.0,14.1,12.470869,3712000
2014-06-03,14.04,14.24,14.01,14.19,12.550471,4228500
2014-06-04,14.21,14.25,13.96,13.97,12.355889999999999,7115400
2014-06-05,14.01,14.36,14.01,14.28,12.630075,6039100
2014-06-06,14.32,14.55,14.31,14.46,12.789276,5089200
2014-06-09,14.48,14.54,14.39,14.39,12.727363,6111500
