Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,9.58,9.68,9.58,9.65,8.822211,4262600
2014-01-02,9.6,9.66,9.53,9.54,8.721648,7039100
2014-01-03,9.59,9.68,9.58,9.6,8.776503,6096500
2014-01-06,9.65,9.8,9.58,9.58,8.758218,9729600
2014-01-07,9.62,9.8,9.62,9.72,8.886209,11770300
2014-01-08,9.75,9.79,9.68,9.75,8.913634,9013700
2014-01-09,9.8,9.87,9.73,9.77,8.93192,10238300
2014-01-10,9.74,9.81,9.68,9.79,8.950205,9661800
2014-01-13,9.8,9.83,9.64,9.67,8.840497000000001,6751200
2014-01-14,9.68,9.78,9.63,9.77,8.93192,8115700
2014-01-15,9.8,9.91,9.73,9.9,9.050768,13932200
2014-01-16,9.64,9.7,9.43,9.63,8.803930000000001,23518000
2014-01-17,9.68,9.72,9.52,9.63,8.803930000000001,11801900
2014-01-21,9.69,9.87,9.66,9.87,9.023342,10448400
2014-01-22,9.86,9.91,9.78,9.89,9.041628,7914700
2014-01-23,9.85,9.85,9.67,9.75,8.913634,9554600
2014-01-24,9.67,9.69,9.42,9.42,8.611941999999999,9801100
2014-01-27,9.43,9.51,9.28,9.34,8.538806,10298100
2014-01-28,9.37,9.44,9.32,9.35,8.547949000000001,9215600
2014-01-29,9.29,9.43,9.18,9.2,8.410814,16892500
2014-01-30,9.27,9.31,9.13,9.26,8.46567,14176400
2014-01-31,9.14,9.2,9.07,9.07,8.291965,11000500
2014-02-03,9.02,9.07,8.66,8.72,7.971989999999999,31464000
2014-02-04,8.74,8.96,8.73,8.86,8.099979,16996400
2014-02-05,8.78,8.92,8.75,8.84,8.081697,13264600
2014-02-06,8.85,9.05,8.83,9.03,8.255397,11014100
2014-02-07,9.09,9.16,8.96,9.03,8.255397,10808400
2014-02-10,9.01,9.08,8.94,9.03,8.255397,7357100
2014-02-11,9.04,9.15,9.01,9.13,8.346821,5712100
2014-02-12,9.14,9.27,9.09,9.12,8.337679,7096700
2014-02-13,9.08,9.12,9.0,9.09,8.310249,6460600
2014-02-14,9.09,9.2,9.07,9.12,8.337679,4511500
2014-02-18,9.12,9.15,9.05,9.06,8.282824,9712800
2014-02-19,9.0,9.05,8.82,8.85,8.090838,11170500
2014-02-20,8.85,8.99,8.77,8.95,8.182260000000001,12283500
2014-02-21,8.97,9.15,8.97,9.11,8.328535,10825300
2014-02-24,9.1,9.33,9.09,9.27,8.474811,11593200
2014-02-25,9.26,9.32,9.2,9.29,8.493094000000001,8376800
2014-02-26,9.34,9.4,9.24,9.35,8.547949000000001,9565200
2014-02-27,9.36,9.48,9.31,9.42,8.611941999999999,10420500
2014-02-28,9.42,9.59,9.42,9.53,8.712507,10610400
2014-03-03,9.5,9.57,9.44,9.52,8.703366,11803100
2014-03-04,9.63,9.7,9.59,9.69,8.858783,8562100
2014-03-05,9.69,9.73,9.6,9.65,8.822211,9245800
2014-03-06,9.68,9.76,9.65,9.7,8.867924,10814400
2014-03-07,9.71,9.91,9.67,9.8,8.959348,13465600
2014-03-10,9.79,9.85,9.72,9.8,8.959348,7253000
2014-03-11,9.82,9.84,9.66,9.71,8.877069,6946800
2014-03-12,9.69,9.69,9.58,9.69,8.858783,8656600
2014-03-13,9.73,9.76,9.56,9.61,8.785644,8285300
2014-03-14,9.55,9.69,9.54,9.57,8.794834,8564600
2014-03-17,9.66,9.71,9.61,9.65,8.868354,6630000
2014-03-18,9.68,9.78,9.65,9.75,8.960256,5770400
2014-03-19,9.71,9.86,9.67,9.8,9.006205,7724300
2014-03-20,9.73,10.08,9.73,10.01,9.199194,13705300
2014-03-21,10.01,10.11,9.86,9.89,9.088915,14938600
2014-03-24,9.94,9.97,9.82,9.9,9.098105,7057200
2014-03-25,9.93,9.98,9.84,9.96,9.153246000000001,9033100
2014-03-26,10.02,10.07,9.86,9.88,9.079725999999999,12531400
2014-03-27,9.91,10.02,9.68,9.71,8.923494999999999,11010300
2014-03-28,9.73,9.9,9.71,9.86,9.061345,9027100
2014-03-31,9.9,10.01,9.88,9.97,9.162436,5255000
2014-04-01,10.02,10.19,9.97,10.16,9.337045,11499600
2014-04-02,10.21,10.24,10.07,10.13,9.309474,8433100
2014-04-03,10.16,10.21,10.08,10.2,9.373804,5272700
2014-04-04,10.25,10.29,10.02,10.06,9.245147,9988000
2014-04-07,10.02,10.04,9.8,9.88,9.079725999999999,8416100
2014-04-08,9.87,9.97,9.81,9.9,9.098105,7772200
2014-04-09,9.92,9.96,9.79,9.87,9.070535000000001,8045700
2014-04-10,9.84,9.89,9.39,9.42,8.656985,23297200
2014-04-11,9.31,9.52,9.1,9.41,8.647795,18919100
2014-04-14,9.53,9.57,9.27,9.37,8.611033,9296300
2014-04-15,9.41,9.56,9.26,9.47,8.702933,13229900
2014-04-16,9.51,9.55,9.17,9.31,8.555895,20778600
2014-04-17,9.1,9.26,9.02,9.21,8.463994999999999,27894000
2014-04-21,9.23,9.32,9.15,9.24,8.491564,7625300
2014-04-22,9.22,9.42,9.17,9.37,8.611033,9516800
2014-04-23,9.35,9.46,9.3,9.45,8.684553999999999,7812800
2014-04-24,9.47,9.47,9.3,9.33,8.574273,10052800
2014-04-25,9.34,9.34,9.16,9.16,8.418044,11027800
2014-04-28,9.24,9.24,9.0,9.07,8.335333,18352100
2014-04-29,9.15,9.16,8.99,9.05,8.316957,22319900
2014-04-30,9.01,9.2,9.01,9.16,8.418044,11595500
2014-05-01,9.18,9.21,9.05,9.08,8.344524,9491700
2014-05-02,9.1,9.3,9.08,9.14,8.399668,8506200
2014-05-05,9.16,9.18,9.01,9.11,8.372095,6987900
2014-05-06,9.04,9.11,9.0,9.02,8.289384,9044900
2014-05-07,9.05,9.16,9.0,9.15,8.408854,10477100
2014-05-08,9.11,9.29,9.1,9.2,8.454805,13287000
2014-05-09,9.19,9.25,9.09,9.24,8.491564,10450200
2014-05-12,9.26,9.42,9.24,9.42,8.656985,8896600
2014-05-13,9.44,9.47,9.36,9.37,8.611033,7423600
2014-05-14,9.34,9.37,9.16,9.16,8.418044,6905600
2014-05-15,9.1,9.12,8.89,9.04,8.307765,11553300
2014-05-16,9.04,9.07,8.92,9.0,8.271005,9208000
2014-05-19,8.93,9.12,8.92,9.12,8.381285,6563600
2014-05-20,9.09,9.1,8.94,9.02,8.289384,9931500
2014-05-21,9.09,9.15,9.04,9.1,8.362905,5571300
2014-05-22,9.13,9.14,9.02,9.06,8.326145,8721900
2014-05-23,9.04,9.13,9.03,9.1,8.362905,5803800
2014-05-27,9.15,9.25,9.11,9.17,8.427235000000001,8805300
2014-05-28,9.17,9.35,9.11,9.21,8.463994999999999,9315300
2014-05-29,9.24,9.25,9.14,9.24,8.491564,9149100
2014-05-30,9.22,9.32,9.22,9.27,8.519135,5962600
2014-06-02,9.28,9.37,9.21,9.36,8.601844,5490800
2014-06-03,9.31,9.47,9.29,9.37,8.611033,6359700
2014-06-04,9.35,9.45,9.34,9.42,8.656985,7502600
2014-06-05,9.39,9.54,9.36,9.52,8.748885000000001,6084900
2014-06-06,9.55,9.6,9.51,9.56,8.785645,5998700
2014-06-09,9.59,9.72,9.56,9.72,8.932684,6237300
2014-06-10,9.71,9.72,9.61,9.71,8.923494999999999,5254100
2014-06-11,9.65,9.67,9.51,9.53,8.758073,13722500
