Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,13.39,13.49,13.38,13.42,12.310597999999999,3652500
2014-01-02,13.43,13.44,13.26,13.29,12.191344,6353900
2014-01-03,13.32,13.44,13.26,13.32,12.218863,5570800
2014-01-06,13.4,13.62,13.4,13.44,12.328944,12965900
2014-01-07,13.54,13.67,13.45,13.54,12.420677,11581100
2014-01-08,13.49,13.68,13.41,13.63,12.503238,12565700
2014-01-09,13.64,13.84,13.64,13.76,12.622489999999999,16899600
2014-01-10,13.74,13.75,13.53,13.63,12.503238,9479500
2014-01-13,13.64,13.65,13.41,13.47,12.356465,6563800
2014-01-14,13.56,13.65,13.51,13.57,12.448197,11503900
2014-01-15,13.63,13.75,13.61,13.68,12.549103,7548500
2014-01-16,13.68,13.69,13.47,13.53,12.411505,7824800
2014-01-17,13.56,13.73,13.52,13.54,12.420677,7584700
2014-01-21,13.68,14.01,13.66,14.01,12.851825,16871000
2014-01-22,14.06,14.14,13.91,14.14,12.971078,13922600
2014-01-23,13.85,14.0,13.39,13.68,12.549103,25810600
2014-01-24,13.61,13.61,12.9,12.93,11.861106,29808300
2014-01-27,12.98,13.1,12.76,12.86,11.796892,18336900
2014-01-28,12.85,13.03,12.81,12.96,11.888627,13179200
2014-01-29,12.85,13.02,12.79,12.87,11.806065,13728100
2014-01-30,12.97,13.0,12.73,12.97,11.897798,11891500
2014-01-31,12.75,12.9,12.71,12.76,11.705159,11633200
2014-02-03,12.75,12.78,12.28,12.31,11.292357,12920300
2014-02-04,12.39,12.57,12.25,12.48,11.448305,9689600
2014-02-05,12.4,12.47,12.28,12.38,11.356573,13708300
2014-02-06,12.41,12.66,12.41,12.65,11.604253,7244400
2014-02-07,12.72,12.87,12.62,12.74,11.686811,9321200
2014-02-10,12.76,12.81,12.56,12.67,11.622598,8234000
2014-02-11,12.69,12.84,12.56,12.81,11.751025,11112100
2014-02-12,12.8,13.18,12.8,12.91,11.842759,9327600
2014-02-13,12.78,12.9,12.66,12.88,11.815238,8505300
2014-02-14,12.89,13.04,12.86,12.92,11.851932000000001,8688300
2014-02-18,12.95,12.99,12.79,12.92,11.851932000000001,9199900
2014-02-19,12.84,12.88,12.6,12.64,11.595079,11036700
2014-02-20,12.64,12.79,12.51,12.76,11.705159,9387900
2014-02-21,12.77,12.93,12.77,12.85,11.787719000000001,7328400
2014-02-24,12.87,13.1,12.84,12.97,11.897798,8096100
2014-02-25,12.98,12.98,12.85,12.9,11.833585000000001,9095300
2014-02-26,12.95,13.05,12.9,13.01,11.934492,8020900
2014-02-27,12.99,13.07,12.94,13.01,11.934492,7004300
2014-02-28,12.97,13.22,12.95,13.17,12.132555,10416500
2014-03-03,13.06,13.11,12.93,13.04,12.012795,10157700
2014-03-04,13.19,13.43,13.17,13.41,12.353649,8153000
2014-03-05,13.4,13.42,13.31,13.36,12.307587,8694600
2014-03-06,13.41,13.66,13.34,13.64,12.565531,14969700
2014-03-07,13.78,14.04,13.76,13.9,12.805049,17784900
2014-03-10,13.88,14.01,13.81,13.98,12.878748,14354800
2014-03-11,13.98,14.01,13.74,13.78,12.694505,13018600
2014-03-12,13.72,13.79,13.63,13.77,12.68529,8601500
2014-03-13,13.81,13.92,13.7,13.74,12.657653999999999,12366700
2014-03-14,13.71,13.92,13.69,13.79,12.703714999999999,12983100
2014-03-17,13.85,13.98,13.81,13.95,12.851111999999999,9095500
2014-03-18,13.96,14.04,13.89,13.97,12.869537,9411600
2014-03-19,14.0,14.3,13.96,14.2,13.081419,18783600
2014-03-20,14.13,14.58,14.13,14.43,13.293303,21757800
2014-03-21,14.57,14.7,14.34,14.36,13.228812,18388700
2014-03-24,14.46,14.58,14.17,14.26,13.13669,11701700
2014-03-25,14.31,14.43,14.2,14.4,13.265661999999999,10055400
2014-03-26,14.46,14.5,14.2,14.21,13.090631,18218400
2014-03-27,14.29,14.41,13.93,13.98,12.878748,13122500
2014-03-28,14.04,14.26,13.94,14.14,13.026145,8081700
2014-03-31,14.21,14.37,14.21,14.24,13.118267000000001,9541200
2014-04-01,14.32,14.41,14.25,14.37,13.238026999999999,8621700
2014-04-02,14.41,14.42,14.24,14.34,13.210391,9774500
2014-04-03,14.36,14.48,14.3,14.45,13.311725,7090300
2014-04-04,14.52,14.59,14.19,14.21,13.090631,8336800
2014-04-07,14.18,14.2,13.76,13.88,12.786626,12414100
2014-04-08,13.89,14.01,13.77,13.94,12.8419,8002100
2014-04-09,13.98,14.02,13.79,14.01,12.906385,9032500
2014-04-10,13.99,14.0,13.48,13.5,12.436562,10742500
2014-04-11,13.28,13.43,12.94,13.18,12.141767999999999,19746600
2014-04-14,13.35,13.45,13.14,13.31,12.261527000000001,8385900
2014-04-15,13.33,13.55,13.25,13.45,12.390499,10567500
2014-04-16,13.59,13.61,13.39,13.51,12.445772999999999,12356500
2014-04-17,13.7,13.9,13.42,13.56,12.491833,13772500
2014-04-21,13.59,13.78,13.57,13.63,12.556319,7114800
2014-04-22,13.56,13.96,13.55,13.91,12.814263,10105200
2014-04-23,13.9,13.92,13.65,13.89,12.795838,12317200
2014-04-24,13.91,13.92,13.58,13.62,12.547106,10516300
2014-04-25,13.6,13.67,13.51,13.54,12.473411,9184400
2014-04-28,13.51,13.57,13.19,13.34,12.289164,13506700
2014-04-29,13.43,13.54,13.36,13.48,12.418134,10465100
2014-04-30,13.48,13.66,13.42,13.64,12.565531,8594900
2014-05-01,13.62,13.71,13.46,13.53,12.464197,8826900
2014-05-02,13.57,13.94,13.56,13.67,12.593167999999999,7998000
2014-05-05,13.58,13.69,13.48,13.67,12.593167999999999,6154800
2014-05-06,13.63,13.65,13.38,13.39,12.335225999999999,10035400
2014-05-07,13.46,13.63,13.34,13.62,12.547106,8684600
2014-05-08,13.59,13.75,13.48,13.58,12.510259,12192700
2014-05-09,13.55,13.61,13.36,13.6,12.528683000000001,7475000
2014-05-12,13.66,13.89,13.6,13.86,12.768203,6402000
2014-05-13,13.88,13.94,13.79,13.81,12.72214,7842000
2014-05-14,13.76,13.78,13.3,13.35,12.298375,11579700
2014-05-15,13.23,13.28,12.9,13.17,12.132555,12387100
2014-05-16,13.16,13.17,12.95,13.11,12.077281,9778900
2014-05-19,13.08,13.31,13.08,13.3,12.252316,8590000
2014-05-20,13.33,13.34,13.12,13.23,12.187825,8554800
2014-05-21,13.24,13.4,13.23,13.33,12.27995,5222600
2014-05-22,13.25,13.33,13.24,13.29,12.303096,4927300
2014-05-23,13.31,13.44,13.27,13.37,12.377153,5069800
2014-05-27,13.39,13.59,13.38,13.55,12.543787,6076300
2014-05-28,13.54,13.61,13.41,13.56,12.553044,6225400
2014-05-29,13.6,13.64,13.45,13.63,12.617846,12707400
2014-05-30,13.6,13.78,13.58,13.69,12.673392,8040000
